 

stn;time;tre200dx;tre200dn;tre200d0
BEINS;20210101;4.2;1.6;2.5
BEINS;20210102;3.3;1.9;2.6
BEINS;20210103;2.9;-0.1;1.8
BEINS;20210104;1.8;-0.2;1.1
BEINS;20210105;1.3;0.7;1.1
BEINS;20210106;2.5;0.4;1.4
BEINS;20210107;5.6;0.7;1.9
BEINS;20210108;5.4;-1.3;1.6
BEINS;20210109;2.3;-2.2;0.0
BEINS;20210110;2.4;-1.1;0.1
BEINS;20210111;1.4;-4.2;-1.6
BEINS;20210112;3.6;-4.3;0.5
BEINS;20210113;5.9;3.5;4.5
BEINS;20210114;6.6;5.1;6.0
BEINS;20210115;5.7;-2.3;2.1
BEINS;20210116;0.8;-5.2;-1.7
BEINS;20210117;4.2;0.7;3.0
BEINS;20210118;6.0;0.5;3.1
BEINS;20210119;6.7;-0.9;2.3
BEINS;20210120;7.3;-0.8;2.3
BEINS;20210121;11.3;1.4;8.2
BEINS;20210122;10.1;4.4;7.8
BEINS;20210123;6.4;3.1;4.3
BEINS;20210124;6.5;0.6;3.4
BEINS;20210125;3.3;0.1;1.8
BEINS;20210126;4.1;-3.0;0.3
BEINS;20210127;4.4;-4.4;0.6
BEINS;20210128;11.9;3.5;8.5
BEINS;20210129;12.2;7.6;9.7
BEINS;20210130;8.8;6.3;7.2
BEINS;20210131;9.1;6.3;7.5
BEINS;20210201;9.5;6.3;7.9
BEINS;20210202;11.3;8.2;9.8
BEINS;20210203;13.0;9.5;10.6
BEINS;20210204;10.5;4.4;7.8
BEINS;20210205;11.2;4.3;7.4
BEINS;20210206;8.7;4.4;6.4
BEINS;20210207;8.7;4.0;6.3
BEINS;20210208;7.8;2.0;5.4
BEINS;20210209;5.7;1.3;2.7
BEINS;20210210;7.4;-0.9;3.0
BEINS;20210211;-1.0;-4.3;-2.9
BEINS;20210212;-2.7;-5.2;-4.0
BEINS;20210213;-2.8;-5.9;-4.6
BEINS;20210214;2.2;-6.2;-2.5
BEINS;20210215;6.5;-2.9;2.4
BEINS;20210216;10.1;3.4;6.9
BEINS;20210217;14.2;3.3;9.0
BEINS;20210218;9.0;0.8;4.9
BEINS;20210219;16.1;5.4;9.7
BEINS;20210220;16.9;2.2;8.3
BEINS;20210221;15.8;1.7;7.8
BEINS;20210222;12.0;1.6;6.1
BEINS;20210223;15.3;1.7;8.2
BEINS;20210224;17.6;3.1;9.3
BEINS;20210225;19.0;3.2;9.8
BEINS;20210226;15.7;2.4;9.7
BEINS;20210227;10.0;5.8;7.9
BEINS;20210228;8.6;1.5;5.3
BEINS;20210301;13.9;-0.5;5.8
BEINS;20210302;15.7;1.1;7.5
BEINS;20210303;10.5;3.4;7.0
BEINS;20210304;14.2;4.9;9.0
BEINS;20210305;9.9;4.2;7.0
BEINS;20210306;7.7;0.9;4.2
BEINS;20210307;10.8;1.4;6.2
BEINS;20210308;12.8;4.1;8.1
BEINS;20210309;10.9;0.0;5.6
BEINS;20210310;12.3;0.8;7.1
BEINS;20210311;13.8;8.6;11.7
BEINS;20210312;12.0;5.6;9.3
BEINS;20210313;12.4;5.6;8.9
BEINS;20210314;6.9;3.4;5.1
BEINS;20210315;6.7;3.0;4.9
BEINS;20210316;7.5;2.6;5.1
BEINS;20210317;8.7;2.4;4.7
BEINS;20210318;7.2;1.5;3.6
BEINS;20210319;8.2;-0.2;3.6
BEINS;20210320;6.0;0.6;3.0
BEINS;20210321;8.2;-1.0;4.2
BEINS;20210322;8.6;2.4;5.6
BEINS;20210323;14.0;1.5;7.4
BEINS;20210324;16.7;1.0;8.7
