 

stn;time;rka150d0
BEINS;20210101;5.3
BEINS;20210102;0.0
BEINS;20210103;0.0
BEINS;20210104;0.0
BEINS;20210105;0.0
BEINS;20210106;0.0
BEINS;20210107;0.0
BEINS;20210108;0.0
BEINS;20210109;0.0
BEINS;20210110;0.0
BEINS;20210111;0.0
BEINS;20210112;4.3
BEINS;20210113;5.8
BEINS;20210114;9.3
BEINS;20210115;3.6
BEINS;20210116;0.3
BEINS;20210117;1.4
BEINS;20210118;0.0
BEINS;20210119;0.0
BEINS;20210120;0.0
BEINS;20210121;2.9
BEINS;20210122;5.7
BEINS;20210123;4.5
BEINS;20210124;0.6
BEINS;20210125;3.9
BEINS;20210126;0.0
BEINS;20210127;4.5
BEINS;20210128;17.1
BEINS;20210129;18.6
BEINS;20210130;7.5
BEINS;20210131;5.3
BEINS;20210201;14.1
BEINS;20210202;3.5
BEINS;20210203;5.9
BEINS;20210204;0.0
BEINS;20210205;0.0
BEINS;20210206;0.2
BEINS;20210207;0.7
BEINS;20210208;0.0
BEINS;20210209;3.8
BEINS;20210210;5.3
BEINS;20210211;0.0
BEINS;20210212;0.0
BEINS;20210213;0.0
BEINS;20210214;0.0
BEINS;20210215;0.0
BEINS;20210216;0.1
BEINS;20210217;0.4
BEINS;20210218;0.0
BEINS;20210219;0.0
BEINS;20210220;0.0
BEINS;20210221;0.0
BEINS;20210222;0.0
BEINS;20210223;0.0
BEINS;20210224;0.0
BEINS;20210225;0.0
BEINS;20210226;0.0
BEINS;20210227;0.0
BEINS;20210228;0.0
BEINS;20210301;0.0
BEINS;20210302;0.0
BEINS;20210303;0.0
BEINS;20210304;1.9
BEINS;20210305;0.0
BEINS;20210306;0.0
BEINS;20210307;0.1
BEINS;20210308;0.3
BEINS;20210309;0.0
BEINS;20210310;0.0
BEINS;20210311;3.5
BEINS;20210312;0.1
BEINS;20210313;5.7
BEINS;20210314;5.8
BEINS;20210315;11.4
BEINS;20210316;1.8
BEINS;20210317;1.0
BEINS;20210318;0.3
BEINS;20210319;0.0
BEINS;20210320;0.0
BEINS;20210321;0.0
BEINS;20210322;0.0
BEINS;20210323;0.0
BEINS;20210324;0.0
BEINS;20210325;0.0
BEINS;20210326;2.8
BEINS;20210327;3.6
BEINS;20210328;0.0
BEINS;20210329;0.0
BEINS;20210330;0.0
BEINS;20210331;0.0
BEINS;20210401;0.0
BEINS;20210402;0.0
BEINS;20210403;0.0
BEINS;20210404;0.0
BEINS;20210405;1.0
BEINS;20210406;0.6
BEINS;20210407;0.0
BEINS;20210408;0.0
BEINS;20210409;0.0
BEINS;20210410;0.1
BEINS;20210411;5.6
BEINS;20210412;2.2
BEINS;20210413;0.0
BEINS;20210414;0.0
BEINS;20210415;0.0
BEINS;20210416;0.0
BEINS;20210417;0.0
BEINS;20210418;0.0
BEINS;20210419;0.0
BEINS;20210420;0.0
BEINS;20210421;0.0
BEINS;20210422;0.0
BEINS;20210423;0.0
BEINS;20210424;0.0
BEINS;20210425;0.0
BEINS;20210426;0.0
BEINS;20210427;0.0
BEINS;20210428;1.1
BEINS;20210429;0.2
BEINS;20210430;14.4
BEINS;20210501;15.9
BEINS;20210502;2.9
BEINS;20210503;0.0
BEINS;20210504;0.0
BEINS;20210505;7.2
BEINS;20210506;9.9
BEINS;20210507;1.8
BEINS;20210508;0.0
BEINS;20210509;0.0
BEINS;20210510;15.6
BEINS;20210511;15.8
BEINS;20210512;0.0
BEINS;20210513;0.0
BEINS;20210514;0.4
BEINS;20210515;7.5
BEINS;20210516;11.8
BEINS;20210517;3.5
BEINS;20210518;0.6
BEINS;20210519;2.8
BEINS;20210520;1.1
BEINS;20210521;19.1
BEINS;20210522;2.6
BEINS;20210523;3.0
BEINS;20210524;5.2
BEINS;20210525;0.0
BEINS;20210526;0.0
BEINS;20210527;0.2
BEINS;20210528;0.0
BEINS;20210529;0.0
BEINS;20210530;0.0
BEINS;20210531;0.0
BEINS;20210601;0.0
BEINS;20210602;0.0
BEINS;20210603;0.0
BEINS;20210604;10.8
BEINS;20210605;11.4
BEINS;20210606;0.0
BEINS;20210607;0.0
BEINS;20210608;3.4
BEINS;20210609;0.0
BEINS;20210610;0.0
BEINS;20210611;0.0
BEINS;20210612;0.0
BEINS;20210613;0.0
BEINS;20210614;0.0
BEINS;20210615;0.0
BEINS;20210616;0.0
BEINS;20210617;3.3
BEINS;20210618;0.0
BEINS;20210619;0.0
BEINS;20210620;13.0
BEINS;20210621;19.0
BEINS;20210622;18.7
BEINS;20210623;6.5
BEINS;20210624;13.6
BEINS;20210625;1.6
BEINS;20210626;0.0
BEINS;20210627;10.0
BEINS;20210628;23.8
BEINS;20210629;29.6
BEINS;20210630;2.9
BEINS;20210701;0.0
BEINS;20210702;0.0
BEINS;20210703;0.9
